TradingDate,SecurityID,Value
2024.01.02,600000.SH,-0.10098
2024.01.02,600002.SH,0.732846
2024.01.02,600015.SH,-0.081056
2024.01.02,600021.SH,-0.052003
2024.01.02,600010.SH,0.383025
2024.01.02,600001.SH,0.63849
2024.01.02,600022.SH,1.129346
2024.01.02,600024.SH,-0.550925
2024.01.02,000005.SZ,0.616634
2024.01.02,000004.SZ,0.696959
2024.01.02,000011.SZ,-0.141629
2024.01.02,000006.SZ,0.072995
2024.01.02,000009.SZ,-0.562041
2024.01.02,600004.SH,0.002678
2024.01.02,000016.SZ,0.369172
2024.01.02,600013.SH,1.050183
2024.01.02,000007.SZ,1.096307
2024.01.02,000008.SZ,-0.261525
2024.01.02,600008.SH,0.982054
2024.01.02,000003.SZ,-0.721548
2024.01.02,000015.SZ,-0.03934
2024.01.02,000020.SZ,0.10222
2024.01.02,000023.SZ,0.379019
2024.01.02,600012.SH,0.30638
2024.01.02,000013.SZ,0.435974
2024.01.02,600014.SH,0.161646
2024.01.02,600019.SH,0.732919
2024.01.02,000021.SZ,0.599043
2024.01.02,600011.SH,0.108343
2024.01.02,600016.SH,0.674322
2024.01.02,600006.SH,1.287342
2024.01.02,600007.SH,-0.083505
2024.01.02,600005.SH,1.090793
2024.01.02,000025.SZ,-0.038613
2024.01.02,000024.SZ,0.958288
2024.01.02,000001.SZ,-0.019843
2024.01.02,000019.SZ,0.635956
2024.01.02,000022.SZ,0.342941
2024.01.02,600018.SH,-0.639505
2024.01.02,000010.SZ,1.210901
2024.01.02,000017.SZ,-0.194601
2024.01.02,600017.SH,-0.381675
2024.01.02,000002.SZ,-0.066595
2024.01.03,600000.SH,-0.615082
2024.01.03,000012.SZ,0.005837
2024.01.03,000008.SZ,0.280081
2024.01.03,600020.SH,-0.040903
2024.01.03,600004.SH,-0.482437
2024.01.03,600018.SH,0.093111
2024.01.03,600024.SH,-1.004975
2024.01.03,000001.SZ,-0.150456
2024.01.03,600001.SH,0.437358
2024.01.03,000005.SZ,0.464494
2024.01.03,600022.SH,-1.868115
2024.01.03,000021.SZ,-0.084517
2024.01.03,600021.SH,0.311413
2024.01.03,000019.SZ,-0.576266
2024.01.03,000018.SZ,-0.174202
2024.01.03,000002.SZ,0.615633
2024.01.03,600010.SH,-0.230307
2024.01.03,000022.SZ,0.811096
2024.01.03,600011.SH,-0.358818
2024.01.03,000014.SZ,0.716715
2024.01.03,600016.SH,0.028557
2024.01.03,000004.SZ,-0.427389
2024.01.03,600008.SH,0.718382
2024.01.03,600009.SH,-0.591463
2024.01.03,600003.SH,-0.386211
2024.01.03,600012.SH,0.256735
2024.01.03,000007.SZ,0.052184
2024.01.03,600017.SH,0.148757
2024.01.03,600007.SH,-0.172384
2024.01.03,000024.SZ,-0.587922
2024.01.03,000020.SZ,-0.314353
2024.01.03,600014.SH,0.671974
2024.01.03,600015.SH,-0.656716
2024.01.03,000015.SZ,0.834009
2024.01.03,600019.SH,0.169704
2024.01.03,000003.SZ,-0.286628
2024.01.03,000011.SZ,-0.989252
2024.01.03,000006.SZ,-0.923568
2024.01.03,000016.SZ,-0.166167
2024.01.03,000010.SZ,-0.226747
2024.01.04,000005.SZ,0.116049
2024.01.04,600001.SH,0.935903
2024.01.04,600021.SH,-0.301691
2024.01.04,000013.SZ,-0.51213
2024.01.04,000018.SZ,0.119686
2024.01.04,000016.SZ,0.642281
2024.01.04,600023.SH,0.359442
2024.01.04,600008.SH,0.097285
2024.01.04,000025.SZ,-0.034491
2024.01.04,600007.SH,-0.923341
2024.01.04,600012.SH,0.373056
2024.01.04,000002.SZ,0.432795
2024.01.04,600017.SH,-0.266042
2024.01.04,600004.SH,-0.152235
2024.01.04,600010.SH,-0.44399
2024.01.04,000022.SZ,0.514186
